ID,Task,Number,STAI_Total,Fatigue,Stress,Mental_Demand,Physical_Demand,Frustration,NASA_Total,PSS,NARS_S1,NARS_S2,NARS_S3,Age,Sex,Experience
4.0,MANUAL,7,29.0,1.0,6.0,4.0,3.0,1.0,47,22,10,14,7,35.0,0,1.0
4.0,MANUAL,8,30.0,1.0,6.0,4.0,3.0,2.0,42,22,10,14,7,35.0,0,1.0
4.0,MANUAL,9,31.0,1.0,6.0,4.0,4.0,2.0,38,22,10,14,7,35.0,0,1.0
4.0,MANUAL,10,30.0,4.0,9.0,4.0,3.0,2.0,43,22,10,14,7,35.0,0,1.0
4.0,MANUAL,11,29.0,1.0,6.0,4.0,4.0,2.0,51,22,10,14,7,35.0,0,1.0
4.0,MANUAL,12,29.0,1.0,6.0,4.0,4.0,2.0,40,22,10,14,7,35.0,0,1.0
4.0,MANUAL,13,30.0,2.0,7.0,4.0,4.0,3.0,45,22,10,14,7,35.0,0,1.0
4.0,MANUAL,14,29.0,2.0,7.0,4.0,4.0,4.0,47,22,10,14,7,35.0,0,1.0
4.0,COBOT,0,36.0,2.0,9.0,4.0,1.0,2.0,31,22,10,14,7,35.0,0,1.0
4.0,COBOT,1,36.0,1.0,7.0,4.0,1.0,3.0,50,22,10,14,7,35.0,0,1.0
4.0,COBOT,2,35.0,1.0,7.0,4.0,1.0,2.0,31,22,10,14,7,35.0,0,1.0
4.0,COBOT,3,39.0,1.0,6.0,4.0,1.0,3.0,35,22,10,14,7,35.0,0,1.0
4.0,COBOT,4,38.0,1.0,7.0,4.0,1.0,4.0,46,22,10,14,7,35.0,0,1.0
4.0,COBOT,5,40.0,2.0,9.0,4.0,1.0,3.0,43,22,10,14,7,35.0,0,1.0
4.0,COBOT,6,38.0,2.0,8.0,4.0,2.0,3.0,33,22,10,14,7,35.0,0,1.0
4.0,COBOT,7,39.0,2.0,9.0,4.0,2.0,2.0,34,22,10,14,7,35.0,0,1.0
4.0,COBOT,8,31.0,1.0,6.0,4.0,1.0,2.0,31,22,10,14,7,35.0,0,1.0
4.0,COBOT,9,35.0,1.0,7.0,4.0,1.0,2.0,24,22,10,14,7,35.0,0,1.0
4.0,COBOT,10,34.0,1.0,6.0,4.0,1.0,2.0,33,22,10,14,7,35.0,0,1.0
4.0,COBOT,11,34.0,1.0,7.0,4.0,1.0,1.0,16,22,10,14,7,35.0,0,1.0
4.0,COBOT,12,38.0,1.0,8.0,4.0,1.0,2.0,27,22,10,14,7,35.0,0,1.0
4.0,COBOT,13,33.0,1.0,7.0,4.0,1.0,2.0,24,22,10,14,7,35.0,0,1.0
4.0,COBOT,14,33.0,1.0,7.0,4.0,2.0,2.0,21,22,10,14,7,35.0,0,1.0
4.0,STROOP,0,40.0,2.0,11.0,7.0,1.0,5.0,56,22,10,14,7,35.0,0,1.0
4.0,STROOP,1,43.0,3.0,12.0,7.0,1.0,5.0,85,22,10,14,7,35.0,0,1.0
4.0,STROOP,2,47.0,2.0,11.0,4.0,1.0,2.0,42,22,10,14,7,35.0,0,1.0
4.0,STROOP,3,51.0,3.0,13.0,4.0,1.0,4.0,60,22,10,14,7,35.0,0,1.0
9.0,MANUAL,0,28.0,1.0,8.0,1.0,1.0,1.0,5,15,12,13,10,41.0,1,1.0
9.0,MANUAL,1,23.0,1.0,6.0,1.0,1.0,1.0,5,15,12,13,10,41.0,1,1.0
9.0,MANUAL,2,22.0,1.0,6.0,1.0,1.0,1.0,3,15,12,13,10,41.0,1,1.0
9.0,MANUAL,3,20.0,1.0,6.0,1.0,1.0,1.0,5,15,12,13,10,41.0,1,1.0
9.0,MANUAL,4,20.0,1.0,6.0,1.0,1.0,1.0,5,15,12,13,10,41.0,1,1.0
9.0,MANUAL,5,20.0,1.0,6.0,1.0,1.0,1.0,5,15,12,13,10,41.0,1,1.0
9.0,MANUAL,6,20.0,1.0,6.0,1.0,1.0,1.0,5,15,12,13,10,41.0,1,1.0
9.0,MANUAL,7,20.0,1.0,6.0,1.0,1.0,1.0,5,15,12,13,10,41.0,1,1.0
9.0,MANUAL,8,20.0,1.0,6.0,1.0,1.0,1.0,5,15,12,13,10,41.0,1,1.0
9.0,MANUAL,9,26.0,1.0,7.0,1.0,1.0,1.0,5,15,12,13,10,41.0,1,1.0
9.0,MANUAL,10,27.0,1.0,8.0,1.0,1.0,1.0,7,15,12,13,10,41.0,1,1.0
9.0,MANUAL,11,29.0,2.0,9.0,1.0,1.0,1.0,10,15,12,13,10,41.0,1,1.0
