,Stress
633,7.0
445,6.0
744,8.0
510,11.0
167,15.0
790,7.0
116,6.0
740,9.0
652,8.0
98,8.0
830,10.0
119,10.0
656,6.0
857,9.0
635,7.0
369,7.0
268,6.0
655,6.0
935,10.0
822,8.0
866,10.0
46,18.0
390,6.0
670,7.0
8,11.0
876,11.0
773,8.0
236,9.0
947,10.0
4,15.0
20,12.0
683,10.0
263,6.0
534,7.0
785,6.0
443,6.0
19,12.0
94,8.0
837,10.0
747,8.0
304,6.0
382,7.0
522,7.0
313,7.0
149,6.0
165,15.0
230,10.0
574,8.0
50,18.0
855,9.0
726,7.0
833,10.0
394,6.0
132,14.0
183,16.0
470,7.0
971,8.0
653,6.0
399,6.0
511,7.0
320,7.0
19,16.0
684,8.0
35,15.0
902,11.0
827,8.0
753,8.0
407,7.0
920,6.0
537,8.0
758,10.0
79,21.0
216,9.0
245,6.0
433,6.0
144,7.0
784,9.0
927,10.0
489,9.0
154,6.0
961,11.0
853,11.0
328,6.0
625,6.0
685,8.0
526,9.0
569,10.0
858,9.0
17,16.0
127,6.0
363,6.0
296,6.0
916,7.0
927,9.0
980,9.0
912,7.0
190,6.0
156,11.0
9,11.0
903,10.0
620,9.0
606,6.0
180,11.0
301,6.0
496,8.0
657,11.0
671,7.0
625,11.0
863,10.0
517,8.0
932,10.0
86,14.0
476,8.0
157,6.0
260,9.0
212,9.0
16,16.0
552,10.0
89,14.0
919,7.0
546,6.0
556,10.0
658,6.0
590,10.0
36,14.0
626,11.0
521,7.0
959,11.0
833,6.0
283,9.0
797,10.0
591,10.0
225,6.0
26,17.0
727,10.0
437,7.0
896,10.0
405,6.0
229,6.0
37,15.0
749,6.0
62,6.0
415,12.0
469,7.0
654,11.0
915,7.0
687,7.0
798,9.0
639,6.0
674,10.0
235,9.0
175,8.0
432,6.0
544,8.0
619,9.0
317,8.0
778,6.0
800,10.0
160,6.0
956,11.0
203,10.0
821,8.0
644,8.0
877,11.0
913,8.0
152,6.0
791,6.0
733,11.0
509,7.0
152,12.0
267,7.0
627,11.0
103,19.0
462,7.0
460,7.0
586,6.0
725,10.0
160,11.0
53,18.0
151,6.0
403,9.0
891,10.0
207,6.0
846,6.0
139,13.0
709,8.0
8,14.0
31,14.0
752,8.0
77,21.0
452,6.0
253,6.0
344,7.0
896,7.0
693,13.0
880,8.0
612,10.0
840,9.0
623,6.0
345,8.0
664,9.0
262,6.0
338,7.0
455,6.0
150,6.0
472,7.0
640,6.0
930,10.0
834,6.0
550,6.0
928,9.0
488,9.0
842,9.0
188,9.0
146,6.0
666,9.0
877,8.0
402,9.0
954,8.0
829,6.0
659,6.0
389,6.0
463,6.0
366,6.0
186,7.0
164,15.0
241,10.0
608,7.0
143,6.0
751,8.0
551,10.0
981,9.0
197,6.0
650,8.0
883,8.0
279,9.0
293,7.0
786,6.0
400,6.0
122,10.0
224,10.0
202,6.0
479,6.0
835,10.0
246,6.0
456,6.0
852,10.0
832,6.0
170,15.0
678,10.0
443,6.0
384,8.0
716,10.0
854,11.0
606,9.0
219,6.0
641,6.0
1,15.0
112,6.0
698,7.0
864,10.0
951,8.0
665,9.0
653,11.0
708,10.0
427,6.0
426,6.0
550,10.0
308,6.0
764,8.0
441,7.0
537,7.0
153,12.0
273,6.0
817,6.0
648,8.0
414,12.0
663,6.0
790,6.0
274,6.0
730,11.0
317,7.0
648,6.0
451,6.0
496,7.0
709,6.0
399,6.0
299,8.0
972,8.0
627,6.0
632,7.0
323,9.0
417,6.0
425,6.0
265,7.0
900,10.0
271,6.0
513,11.0
388,6.0
546,8.0
680,10.0
371,6.0
874,8.0
851,10.0
660,9.0
803,7.0
795,10.0
645,6.0
29,12.0
794,9.0
556,7.0
681,8.0
577,8.0
126,8.0
283,6.0
739,10.0
200,9.0
524,10.0
76,7.0
540,8.0
211,9.0
695,7.0
748,6.0
806,11.0
447,6.0
484,6.0
95,17.0
37,14.0
563,9.0
281,6.0
742,9.0
863,10.0
615,10.0
731,11.0
501,6.0
891,9.0
594,10.0
55,15.0
206,6.0
392,7.0
794,10.0
870,10.0
397,6.0
766,6.0
796,9.0
258,9.0
45,21.0
642,6.0
843,6.0
612,7.0
779,8.0
960,11.0
587,10.0
725,7.0
683,8.0
98,19.0
804,10.0
768,8.0
614,10.0
406,9.0
502,8.0
88,14.0
73,7.0
929,9.0
779,9.0
200,6.0
134,6.0
68,7.0
40,16.0
34,14.0
230,6.0
530,9.0
378,9.0
288,7.0
418,7.0
715,8.0
391,7.0
592,6.0
539,7.0
179,16.0
103,6.0
512,11.0
647,6.0
169,15.0
384,7.0
520,8.0
64,19.0
14,16.0
197,9.0
81,21.0
492,9.0
379,9.0
187,7.0
763,10.0
216,6.0
791,7.0
93,8.0
878,11.0
337,7.0
789,6.0
719,7.0
765,8.0
295,7.0
742,10.0
33,14.0
292,6.0
767,8.0
502,6.0
455,6.0
944,10.0
815,10.0
269,6.0
12,12.0
201,6.0
161,8.0
596,10.0
729,7.0
401,9.0
702,6.0
517,7.0
812,11.0
146,7.0
565,10.0
430,6.0
38,14.0
42,21.0
428,6.0
602,9.0
121,8.0
205,6.0
34,15.0
775,8.0
508,7.0
468,8.0
495,7.0
918,7.0
407,6.0
91,17.0
380,10.0
897,7.0
564,10.0
386,7.0
776,8.0
241,6.0
13,14.0
315,7.0
600,6.0
387,8.0
314,8.0
166,8.0
840,10.0
20,16.0
646,6.0
859,9.0
525,9.0
171,8.0
545,8.0
831,10.0
284,6.0
607,9.0
562,9.0
899,10.0
686,7.0
957,11.0
189,6.0
823,6.0
975,8.0
699,6.0
516,11.0
722,10.0
510,7.0
99,8.0
474,8.0
601,10.0
856,10.0
747,6.0
252,6.0
21,16.0
354,9.0
459,6.0
201,9.0
276,6.0
955,8.0
232,9.0
385,8.0
805,10.0
454,6.0
532,7.0
343,8.0
769,6.0
349,9.0
702,10.0
130,6.0
704,10.0
871,11.0
140,7.0
413,12.0
87,19.0
499,6.0
330,6.0
255,9.0
466,6.0
121,10.0
655,11.0
61,6.0
741,10.0
112,13.0
147,12.0
311,6.0
860,10.0
476,7.0
143,7.0
95,8.0
672,7.0
883,10.0
942,9.0
331,6.0
471,7.0
362,6.0
305,6.0
966,10.0
482,6.0
212,6.0
574,10.0
650,6.0
420,6.0
149,12.0
245,12.0
99,19.0
161,11.0
651,6.0
810,9.0
331,6.0
237,10.0
24,12.0
585,6.0
888,9.0
74,7.0
755,12.0
374,9.0
367,7.0
889,9.0
154,11.0
415,7.0
398,6.0
289,7.0
70,19.0
432,6.0
816,6.0
934,10.0
547,8.0
198,9.0
637,8.0
710,6.0
534,6.0
233,6.0
120,10.0
527,10.0
14,12.0
792,10.0
628,6.0
599,10.0
187,9.0
597,10.0
360,7.0
188,7.0
845,6.0
719,10.0
117,14.0
722,7.0
138,13.0
480,6.0
781,6.0
27,12.0
806,9.0
