,Stress
522,7.0
313,6.0
149,7.0
165,6.0
230,6.0
574,6.0
50,8.0
855,8.0
726,18.0
833,7.0
394,10.0
132,6.0
183,6.0
470,8.0
971,10.0
653,9.0
399,8.0
511,7.0
320,6.0
19,6.0
684,14.0
35,6.0
902,10.0
827,6.0
753,21.0
407,6.0
920,10.0
537,6.0
758,19.0
79,15.0
216,6.0
245,6.0
433,10.0
144,12.0
784,6.0
927,6.0
489,6.0
154,6.0
961,10.0
853,6.0
328,9.0
625,6.0
685,16.0
526,7.0
569,8.0
858,8.0
17,6.0
127,6.0
363,12.0
296,6.0
916,6.0
927,8.0
980,11.0
912,11.0
190,7.0
156,6.0
9,8.0
903,7.0
620,6.0
606,7.0
180,7.0
301,6.0
496,6.0
657,7.0
671,8.0
625,6.0
863,8.0
517,7.0
932,6.0
86,8.0
476,7.0
157,6.0
260,9.0
212,6.0
16,6.0
552,10.0
89,8.0
919,6.0
546,10.0
556,11.0
658,10.0
590,8.0
36,8.0
626,6.0
521,7.0
959,11.0
833,11.0
283,6.0
797,6.0
591,8.0
225,6.0
26,6.0
727,15.0
437,8.0
896,9.0
405,8.0
229,6.0
37,6.0
749,23.0
62,12.0
415,11.0
469,8.0
654,7.0
915,6.0
687,16.0
798,10.0
639,6.0
674,11.0
235,8.0
175,6.0
432,10.0
544,10.0
619,7.0
317,9.0
778,9.0
800,6.0
160,6.0
956,11.0
203,7.0
821,7.0
644,7.0
877,6.0
913,9.0
152,6.0
791,11.0
733,6.0
509,7.0
152,6.0
267,6.0
627,7.0
103,6.0
462,10.0
460,10.0
586,8.0
725,15.0
160,6.0
53,8.0
151,6.0
403,6.0
891,6.0
207,7.0
846,8.0
139,12.0
709,14.0
8,10.0
31,14.0
752,21.0
77,11.0
452,8.0
253,9.0
344,10.0
896,10.0
693,12.0
880,6.0
612,8.0
840,8.0
623,6.0
345,6.0
664,7.0
262,9.0
338,10.0
455,12.0
150,7.0
472,8.0
640,6.0
930,6.0
834,11.0
550,10.0
928,8.0
488,6.0
842,8.0
188,6.0
146,7.0
666,8.0
877,6.0
402,8.0
954,11.0
829,9.0
659,10.0
389,9.0
463,9.0
366,12.0
186,7.0
164,6.0
241,6.0
608,7.0
143,6.0
751,23.0
551,10.0
981,11.0
197,7.0
650,9.0
883,9.0
279,6.0
293,6.0
786,10.0
400,8.0
122,7.0
224,6.0
202,6.0
479,11.0
835,7.0
246,6.0
456,12.0
852,8.0
832,11.0
170,6.0
678,11.0
443,7.0
384,11.0
716,21.0
854,6.0
606,6.0
219,7.0
641,6.0
1,6.0
112,9.0
698,17.0
864,8.0
951,8.0
665,7.0
653,9.0
708,14.0
427,10.0
426,10.0
550,10.0
308,9.0
764,10.0
441,11.0
537,8.0
153,6.0
273,7.0
817,9.0
648,9.0
414,10.0
663,10.0
790,11.0
274,7.0
730,6.0
317,6.0
648,7.0
451,12.0
496,7.0
709,16.0
399,10.0
299,6.0
972,10.0
627,6.0
632,8.0
323,10.0
417,11.0
425,10.0
265,6.0
900,9.0
271,7.0
513,10.0
