tsne_3_f1,tsne_3_f2,tsne_3_f3
89147.4,-7451.451,-5247.286
79778.46,-4905.5327,12787.696
-59409.348,36435.13,-4149.655
-62940.633,-19118.914,1255.504
109122.33,-3247.5254,-26258.031
117384.086,-9467.096,-27822.66
-19541.66,53510.746,-11990.581
-7885.9033,-8520.2,-10392.982
-61041.098,8314.654,-1581.9655
-62704.84,-21205.412,1880.1437
29399.889,7531.708,40303.777
-57239.098,-17597.121,2580.3418
-18474.025,-19620.506,1812.8479
7192.516,-13176.658,11143.693
-59374.766,40996.555,-4913.5747
-60943.44,2194.8486,-1014.4831
-35155.527,31757.705,-2075.0952
-56687.22,79489.086,-8522.661
-61945.824,-14074.185,672.9645
-59680.88,21882.477,-2415.788
17297.023,-8092.243,5432.9946
45636.883,6933.7544,25808.377
-59581.355,36875.207,-4479.474
43770.598,-3896.5156,13204.679
-25033.926,-7751.2393,-4373.763
-61828.36,-18447.555,1282.1719
91731.234,8385.345,49665.805
535.86865,-8528.078,29256.994
-62107.574,-14402.575,1446.7516
-62667.312,-19830.75,1832.4813
-38585.43,-11474.8955,1865.8773
-56086.223,31888.707,-3960.286
29961.508,-12574.397,-6088.3193
-61015.312,441.71762,-877.7109
67908.625,749.69104,-22072.475
74415.16,-5298.166,14003.131
115912.766,-3044.1501,-27779.443
4063.6094,22496.908,3561.6047
-60074.08,16703.678,-1844.8323
27760.781,4974.086,4397.356
41481.42,-10032.381,12713.747
-38753.94,28360.264,673.11835
-59171.098,23839.299,-3034.4023
120489.3,-31.717768,15281.499
73835.54,1265.8345,-23318.73
-47425.52,-2987.28,-1703.5234
-32325.055,-10443.828,-616.6986
98121.98,-5602.8477,2922.3267
97585.47,-8611.011,-20018.188
153326.42,841.3194,-2723.664
6536.9644,-7093.492,8522.7
-30240.627,-976.48193,-1089.8728
-46838.797,-22106.809,7219.1406
-55967.594,59576.96,-6924.08
-44352.195,61370.934,-7882.13
-53313.727,-19820.775,3323.7102
-60794.08,9664.658,-1777.8616
66113.82,-13327.975,-23239.094
94950.73,-3439.5623,7410.4814
-51399.816,43540.145,-6199.122
171420.45,-830.1155,-22394.395
100353.34,-6431.5737,-18934.215
90914.62,-4569.8096,8751.649
153288.3,-5972.7773,-35356.254
116974.76,-5878.541,4654.549
-19311.87,-17688.746,-5952.0464
-61812.62,-4894.6997,-359.55713
76468.7,11930.059,13008.437
-62312.86,-14252.065,781.2645
58847.273,-8269.917,8717.272
212200.62,3325.3208,-3114.825
-41730.223,-11086.577,-735.8934
-2677.992,25196.375,-16044.449
-56248.797,-7807.679,-242.58533
102536.34,15064.733,64588.87
-63168.754,-21257.146,1647.5674
-35312.83,12455.197,1369.1716
74762.79,-6430.3647,-25667.83
98201.79,-5729.123,-6858.8047
45136.004,-13258.141,-2252.6763
-56293.31,32748.723,-3746.2764
135131.05,672.30176,3240.601
35513.047,-9920.232,2193.6633
2023.8499,720.97504,2982.81
154634.6,-4195.6016,-10472.797
120637.35,4571.0522,34329.836
-61937.035,-3310.954,-181.72287
-46701.094,7899.0474,1431.9452
37080.383,-11610.191,-7079.685
-61623.16,7398.2603,-1525.2178
-36028.477,90539.22,-8383.244
-60985.098,2126.8477,-625.31836
119783.414,-6667.588,-11659.84
-10659.116,-20161.898,-5143.9746
84405.63,-8744.909,-3378.671
187882.0,24375.645,68826.96
-58617.453,52531.445,-6176.1494
134499.11,-7044.8813,-15901.7295
-14441.987,-15320.808,16177.795
-4372.413,-8241.276,160.2454
-56257.33,34055.695,-1705.5851
-63325.582,-23537.785,1863.3586
-62919.17,-16754.955,1044.1058
-55504.68,67868.77,-7572.001
-48717.055,-12736.703,-1275.9508
-61079.01,-13795.932,2097.2407
165441.48,2606.169,11475.406
-60233.504,7819.028,-1437.9293
-24685.477,-13086.516,-1906.6542
97579.81,-11783.267,-26325.893
-60179.83,28411.535,-3609.0261
20053.72,32569.023,-10192.747
-59726.848,32105.63,-3759.5464
-59756.25,35305.203,-4285.873
82177.56,-6357.878,-29937.984
123978.94,-9440.069,-18965.504
-62035.777,131.11005,-898.30676
-61283.117,-16799.207,930.14386
72362.88,-3125.5496,3262.7786
-46562.1,-9094.786,-1506.6145
13862.716,-13098.398,-6260.5317
33663.816,-4780.543,25796.115
-63098.484,-16415.535,933.17114
30667.69,12994.208,6957.94
-40241.78,-4899.78,-3579.9207
-57029.73,-14410.144,1073.4626
145086.05,11937.071,44307.133
140655.16,-4506.566,-23127.81
-42267.34,40625.586,-1658.7064
22414.78,-11771.761,3479.0916
84679.02,5120.7173,31171.188
-60736.98,9318.185,-1663.2701
60441.594,-12461.484,-25790.342
15120.9795,-16772.982,-9532.534
-60185.902,21196.1,-2873.2202
-62919.24,-13793.713,620.0613
336531.97,17856.21,11502.281
-27332.855,-20921.98,762.3615
-4814.43,10834.364,16073.892
-62133.746,-19123.336,1273.4342
-61049.598,-5617.68,756.12994
84746.27,-8304.754,-9003.73
-63514.832,-27755.283,2227.2715
-60533.855,-12961.21,1168.672
144594.36,-8075.8594,-38269.527
-63025.035,-16517.895,996.38525
-59086.93,-9397.278,1068.9023
-62264.266,-2697.5757,-532.8966
84884.914,-7720.3,-24590.51
-59557.797,5039.84,-1358.934
21804.965,11741.47,35672.79
-47247.965,7070.6377,-44.353966
-63050.582,-15112.9,698.8344
-56809.72,6704.5835,-1361.9333
31145.432,26437.295,-13324.093
39139.855,-4667.789,-11723.115
-63691.42,-30001.54,2592.2156
599.8037,-2277.6118,2528.005
-61056.168,2769.737,-1064.0585
46106.895,-9137.379,2487.2773
2777.0823,-13046.618,-5608.576
-44991.027,-22648.338,3796.975
48441.277,-303.9835,22668.002
53316.812,-10470.819,-3032.9666
150568.89,3293.9111,4911.6577
-30102.857,-19317.04,-1672.5809
-41937.805,-18147.182,-212.61203
-6304.9478,12973.32,2131.236
-62828.71,-16642.002,1139.3761
106077.46,-8886.291,-22000.904
-34968.816,-21606.592,5413.1846
-61611.785,-23915.582,1634.5396
18668.996,-13750.823,-13274.518
2891.9795,-8057.0054,-916.8856
-57884.22,1131.2236,-188.22809
296868.47,2524.746,-64288.066
-58809.777,36780.477,-3666.1702
47285.582,-844.42236,9877.71
-62118.082,-5966.327,-134.82278
-62134.445,-6569.9253,186.51128
-62240.254,-2861.4756,-458.3385
-34249.613,1188.8069,-5319.8174
-61830.35,3931.299,-1193.4507
-60118.47,-14772.116,1782.8269
-62479.844,-6894.4233,-87.00489
-51383.367,17734.434,-538.9945
